id,customer_id,order_date,product,pack_size,channel,segment,subscription
O00001,C0174,2025-10-01,bar,12-bar box,marketplace,vegetarian,no
O00002,C1929,2025-10-01,bar,12-bar box,marketplace,weight_loss,no
O00003,C2592,2025-10-01,bar,12-bar box,marketplace,beginner,no
O00004,C2600,2025-10-01,bar,12-bar box,d2c,gym_regular,no
O00005,C3193,2025-10-01,bar,12-bar box,d2c,beginner,no
O00006,C3614,2025-10-01,bar,12-bar box,marketplace,weight_loss,no
O00007,C0079,2025-10-02,bar,12-bar box,marketplace,weight_loss,no
O00008,C0603,2025-10-02,bar,12-bar box,marketplace,beginner,no
O00009,C1123,2025-10-02,bar,12-bar box,d2c,gym_regular,no
O00010,C1647,2025-10-02,bar,12-bar box,marketplace,vegetarian,no
O00011,C1743,2025-10-02,bar,12-bar box,d2c,beginner,no
O00012,C2993,2025-10-02,bar,12-bar box,d2c,weight_loss,no
O00013,C3094,2025-10-02,bar,12-bar box,marketplace,endurance,no
O00014,C3119,2025-10-02,bar,12-bar box,marketplace,beginner,no
O00015,C3738,2025-10-02,bar,12-bar box,d2c,endurance,no
O00016,C0445,2025-10-03,bar,12-bar box,marketplace,endurance,no
O00017,C0638,2025-10-03,bar,12-bar box,marketplace,beginner,no
O00018,C0716,2025-10-03,bar,12-bar box,d2c,gym_regular,no
O00019,C1434,2025-10-03,bar,12-bar box,marketplace,beginner,no
O00020,C2213,2025-10-03,bar,12-bar box,d2c,weight_loss,no
O00021,C2686,2025-10-03,bar,12-bar box,marketplace,gym_regular,no
O00022,C3036,2025-10-03,bar,12-bar box,d2c,gym_regular,no
O00023,C0235,2025-10-04,bar,12-bar box,marketplace,weight_loss,no
O00024,C0568,2025-10-04,bar,12-bar box,d2c,gym_regular,no
O00025,C1373,2025-10-04,bar,12-bar box,marketplace,weight_loss,no
O00026,C2200,2025-10-04,bar,12-bar box,marketplace,beginner,no
O00027,C2278,2025-10-04,bar,12-bar box,d2c,gym_regular,no
O00028,C3783,2025-10-04,bar,12-bar box,marketplace,weight_loss,no
O00029,C1382,2025-10-05,bar,12-bar box,marketplace,beginner,no
O00030,C1871,2025-10-05,bar,12-bar box,d2c,weight_loss,no
O00031,C2545,2025-10-05,bar,12-bar box,d2c,beginner,no
O00032,C2876,2025-10-05,bar,12-bar box,marketplace,beginner,no
O00033,C3270,2025-10-05,bar,12-bar box,marketplace,vegetarian,no
O00034,C3785,2025-10-05,bar,12-bar box,marketplace,beginner,no
O00035,C0532,2025-10-06,bar,12-bar box,d2c,beginner,no
O00036,C0970,2025-10-06,bar,12-bar box,d2c,gym_regular,no
O00037,C1848,2025-10-06,bar,12-bar box,marketplace,beginner,no
O00038,C2718,2025-10-06,bar,12-bar box,marketplace,endurance,no
O00039,C2851,2025-10-06,bar,12-bar box,d2c,endurance,no
O00040,C3291,2025-10-06,bar,12-bar box,marketplace,endurance,no
