id,date,product,channel,rating,text,reviewer_segment,customer_id
R001,2026-04-01,bar,d2c,5,"Good protein, keeps me full till lunch.",beginner,C0634
R002,2026-04-02,bar,marketplace,5,Love the chocolate one.,weight_loss,C0131
R003,2026-04-03,bar,marketplace,2,Too expensive for what you get.,beginner,C2788
R004,2026-04-03,bar,marketplace,5,"Good protein, keeps me full till lunch.",gym_regular,
R005,2026-04-04,bar,d2c,2,"Gritty texture, feels like chewing sand.",weight_loss,C3207
R006,2026-04-04,bar,d2c,2,Upset my stomach.,vegetarian,C3775
R007,2026-04-05,bar,d2c,1,Weird aftertaste of sweetener.,weight_loss,
R008,2026-04-05,bar,d2c,4,My go-to snack at the office.,beginner,C1572
R009,2026-04-07,bar,marketplace,2,"Texture got worse, very dry now.",gym_regular,C2163
R010,2026-04-07,bar,marketplace,5,Great after a workout.,endurance,C1587
R011,2026-04-07,bar,marketplace,4,Easy to carry in my gym bag.,gym_regular,C0428
R012,2026-04-10,bar,d2c,1,Too expensive for what you get.,vegetarian,C3065
R013,2026-04-11,bar,marketplace,2,Chocolate taste is artificial.,vegetarian,
R014,2026-04-12,bar,marketplace,2,Chocolate taste is artificial.,weight_loss,
R015,2026-04-13,bar,marketplace,1,Weird aftertaste of sweetener.,vegetarian,
R016,2026-04-16,bar,marketplace,2,Pricey for a snack bar.,weight_loss,C2628
R017,2026-04-17,bar,marketplace,5,Easy to carry in my gym bag.,endurance,C2765
R018,2026-04-18,bar,marketplace,4,"Good protein, keeps me full till lunch.",weight_loss,C2431
R019,2026-04-20,bar,d2c,5,My go-to snack at the office.,weight_loss,
R020,2026-04-21,bar,marketplace,5,Great after a workout.,beginner,C2236
R021,2026-04-22,bar,marketplace,2,Wrapper tore open in the box.,weight_loss,C3989
R022,2026-04-25,bar,d2c,5,Good value when it is on sale.,gym_regular,C1267
R023,2026-04-26,bar,marketplace,1,"Gritty and dry, would not reorder.",weight_loss,C1039
R024,2026-04-26,bar,d2c,2,Delivery was late by a week.,gym_regular,
R025,2026-04-26,bar,marketplace,5,My go-to snack at the office.,gym_regular,C1355
R026,2026-04-27,bar,d2c,5,"Solid bar, would recommend.",endurance,C3477
R027,2026-04-28,bar,marketplace,1,My stomach did not agree with it.,vegetarian,
R028,2026-04-29,bar,marketplace,5,Kids steal these from my bag.,endurance,C2081
R029,2026-04-29,bar,marketplace,5,Kids steal these from my bag.,endurance,
R030,2026-04-29,bar,marketplace,5,Easy to carry in my gym bag.,weight_loss,C3911
R031,2026-04-30,bar,d2c,1,"Too chalky, I stopped buying.",beginner,C0549
R032,2026-05-06,bar,d2c,2,Overpriced compared to other bars.,vegetarian,
R033,2026-05-07,bar,d2c,2,Did not like the flavour.,beginner,C2934
R034,2026-05-07,bar,d2c,4,"Solid bar, would recommend.",endurance,
R035,2026-05-08,bar,marketplace,2,Meh.,gym_regular,C2855
