id,month,product,channel,units,customers,repeat_customers
M01,2025-10,bar,marketplace,1600,640,220
M02,2025-10,bar,d2c,950,320,140
M03,2025-11,bar,marketplace,1650,650,225
M04,2025-11,bar,d2c,960,320,141
M05,2025-12,bar,marketplace,1750,690,240
M06,2025-12,bar,d2c,990,330,145
M07,2026-01,bar,marketplace,1700,670,234
M08,2026-01,bar,d2c,1000,333,146
M09,2026-02,bar,marketplace,1680,665,232
M10,2026-02,bar,d2c,990,330,145
M11,2026-03,bar,marketplace,1720,680,238
M12,2026-03,bar,d2c,1010,336,148
M13,2026-04,bar,marketplace,1700,680,238
M14,2026-04,bar,d2c,1000,334,147
M15,2026-05,bar,marketplace,1650,660,231
M16,2026-05,bar,d2c,1000,333,147
M17,2026-06,bar,marketplace,1650,660,231
M18,2026-06,bar,d2c,1000,333,146
M19,2026-07,bar,marketplace,1300,560,128
M20,2026-07,bar,d2c,950,340,140
M21,2026-08,bar,marketplace,1200,540,118
M22,2026-08,bar,d2c,930,330,135
M23,2026-09,bar,marketplace,1100,500,106
M24,2026-09,bar,d2c,920,330,135
